MutationType	Confirm067_T	Confirm124_T	Confirm140_T	Confirm141_RB	Confirm141_T	Confirm143_T	Confirm169_T	Confirm189_T	Confirm200_T	Confirm206_T	Confirm215_T	Confirm242_T	Confirm259_T
0:homdel:0-100kb	3	1	0	0	0	0	1	3	0	1	0	1	1
0:homdel:100kb-1Mb	5	5	8	0	0	0	6	6	0	1	2	2	3
0:homdel:>1Mb	2	8	1	0	0	0	0	7	0	0	1	0	1
1:LOH:0-100kb	1	0	1	3	3	5	2	1	1	4	0	1	2
1:LOH:100kb-1Mb	6	0	8	0	7	10	7	1	1	4	2	3	8
1:LOH:1Mb-10Mb	1	3	11	2	7	2	5	2	1	0	0	3	17
1:LOH:10Mb-40Mb	3	1	1	0	0	0	1	0	0	0	0	1	18
1:LOH:>40Mb	0	3	3	0	0	0	0	0	0	0	0	0	1
2:LOH:0-100kb	1	0	0	1	0	1	0	0	0	0	0	1	0
2:LOH:100kb-1Mb	0	0	0	0	6	5	0	0	1	0	0	0	0
2:LOH:1Mb-10Mb	0	1	0	1	17	9	0	0	2	1	0	0	0
2:LOH:10Mb-40Mb	0	2	0	0	4	5	0	0	0	0	0	0	0
2:LOH:>40Mb	0	0	0	0	2	0	0	0	0	0	0	0	0
3-4:LOH:0-100kb	0	0	0	1	1	0	0	0	0	0	0	0	0
3-4:LOH:100kb-1Mb	0	0	0	0	8	11	0	0	0	0	0	0	0
3-4:LOH:1Mb-10Mb	0	0	0	0	11	11	0	0	0	0	0	0	0
3-4:LOH:10Mb-40Mb	0	0	0	0	2	0	0	0	0	0	0	0	0
3-4:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	1	0	1	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	1	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	1	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	3	0	3	0	0	0	2	1	0	0	0	4	1
2:het:100kb-1Mb	38	0	12	1	0	3	19	6	1	18	5	45	22
2:het:1Mb-10Mb	43	5	28	0	0	3	22	27	1	50	11	39	44
2:het:10Mb-40Mb	8	6	13	0	0	0	5	12	1	15	6	8	8
2:het:>40Mb	0	1	5	0	0	0	3	3	0	2	3	0	2
3-4:het:0-100kb	5	0	1	0	0	0	0	2	0	6	0	4	4
3-4:het:100kb-1Mb	7	0	2	0	1	12	0	4	1	14	4	7	12
3-4:het:1Mb-10Mb	1	2	4	0	2	23	0	3	0	4	3	6	2
3-4:het:10Mb-40Mb	0	0	1	0	0	16	0	0	0	2	1	1	0
3-4:het:>40Mb	0	0	0	0	0	3	0	0	0	0	1	0	0
5-8:het:0-100kb	0	0	0	1	1	4	0	1	1	1	0	1	1
5-8:het:100kb-1Mb	0	0	2	0	3	6	0	0	0	3	1	0	1
5-8:het:1Mb-10Mb	0	0	0	0	0	9	0	0	0	1	0	0	0
5-8:het:10Mb-40Mb	0	0	0	0	0	3	0	0	0	0	0	0	0
5-8:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0
