	Confirm067_T	Confirm124_T	Confirm140_T	Confirm141_T	Confirm143_T	Confirm169_T	Confirm189_T	Confirm200_T
SBS1	0	0	0	0	0	0	0	0.40806321
SBS2	0	0	0	0	0	0	0	0
SBS3	0	24.79002194	0	0	0	0	0	0
SBS4	0	0	0	0	0	0	0	0
SBS5	0	0	0	0	0	0	0	0
SBS6	0	0	0	0	0	0	0	0
SBS7a	0	0	0	0	0	0	1.202712757	0
SBS7b	0	0	0	0	0	0	0	0
SBS7c	1.636647161	1.199517402	0	0	0.634097569	0	0	0
SBS7d	0	0.334190865	0	1.428833358	0	0	0	1.181193611
SBS8	3.982080029	0	0	0	0	8.430312852	0	0
SBS9	0	0	0	0	0	0	0	0
SBS10a	0	0.420207173	0	0	0.428405855	0	0	0
SBS10b	0	0	0	0	0	0	0	0
SBS10c	0	0	0	0	0	0	0	0
SBS10d	0	0	0	0	0	1.841098303	0	0
SBS11	0	0	0	0	3.038539625	0	0.209658267	0
SBS12	0	0	0	0	0	0.574515274	0	0
SBS13	0	0	0.853445283	0	0	0	0	0.218077618
SBS14	0	0	0	0	0	0	0	0
SBS15	0	0	0	0	0	0	0	0
SBS16	1.537063782	0	0	0	0	0	0	0
SBS17a	3.698119766	6.967488803	0	0	5.176637493	0.696250856	0	4.17187542
SBS17b	0	1.642740279	1.785881667	1.950310324	3.599247107	0	0	3.096999483
SBS18	0	0	0	0	0	0	0	0
SBS19	0	0	0	0	0	0	0	0
SBS20	0	0	0	0	0	0	0	0.31320102
SBS21	0	0	0	1.188956412	0	0.779006273	0.28950511	3.138621314
SBS22	3.110091906	1.515187583	0	1.375559279	5.602790851	0.21381726	0	4.201292628
SBS23	0	0	0	0.199857337	0	0	0	0
SBS24	0	0	0	0	0	0	0	0
SBS25	0	0	0	0	0	0	0	0
SBS26	0	0	0	0	7.212057551	0.513596242	0	0
SBS27	0	9.88999675	5.184282244	0.118180846	3.211864174	3.746963241	0	0
SBS28	0	0	1.286185926	0.94449175	2.310682525	0	3.674665107	0
SBS29	0	0	2.087753734	0	0	0	0	0
SBS30	1.073678735	0	0.853433357	0	0	0	0	0
SBS31	0	7.207286835	0	5.410843829	5.210408674	0.327595279	0	0
SBS32	0	0	0	0	0	0	1.7807661	3.069044673
SBS33	0	1.222807028	0	0	0	0	0	0
SBS34	0	0	0	0.724241913	0	0.601438544	0	0
SBS35	0.215322661	6.496224182	0	3.428182502	12.11199033	2.638671922	0	2.182028539
SBS36	0	0	0	0	0	0	0	0
SBS37	0	0	0	0	0	0	0	0
SBS38	0	0	0	0	0	0	0	0
SBS39	0	0	4.949549273	3.372346156	5.880192205	0	0	6.471234034
SBS40	0	0	0	0	0	0	0	0
SBS41	0	0	0	0	0	0	0	0
SBS42	0	0	0	0	0	0	0	0
SBS43	0	8.211520333	1.504094735	0.474256238	13.20085904	0.411100229	0	1.350516617
SBS44	0	0	0	0	0	0	0	0
SBS45	0	0	0	0	0	0	0	0
SBS46	0	0	0	0	0	0	0	5.101580381
SBS47	0	0	0	0	0	0	0	0
SBS48	0	3.705913923	0	0	0.946843869	0	0	0
SBS49	0	0	0	0	0	0	0	0
SBS50	0.860771099	0	0	0	0	0	0	0
SBS51	0	0	0	0	0	0	0	7.956620778
SBS52	0.028011911	0	0	0	0	0	0	2.456701887
SBS53	0	0	2.388736587	0	0	0	0	0
SBS54	0	2.011515527	1.559419051	7.943965354	9.582810225	1.092005193	2.732432791	0.137515415
