Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6
Confirm067_T	2	0	0	0	9	0
Confirm124_T	3	0	0	0	8	0
Confirm140_T	0	0	0	0	9	0
Confirm141_T	2	0	0	0	12	0
Confirm143_T	12	0	65	0	0	0
Confirm169_T	6	0	0	0	5	0
Confirm200_T	1	0	0	0	11	0
Confirm206_T	1	0	0	0	0	0
Confirm215_T	0	0	0	0	1	3
Confirm242_T	0	0	0	0	0	0
Confirm259_T	0	0	0	0	0	0
Confirm323_T	0	0	0	0	5	0
MED001.R1	1	0	0	0	23	0
MED006.R1	4	0	0	0	11	0
MED009.R1	5	10	0	0	14	0
MED012.R1	0	5	0	0	12	0
MED018.R1	4	0	0	0	29	0
MED023.R1	0	0	0	0	0	0
MED024.R1	7	4	0	0	18	0
MED027.R1	0	16	0	0	29	0
MED032.R1	1	0	0	0	39	0
MED033.R1	2	0	0	0	45	0
MED034.R1	7	0	0	0	12	0
